Generation,Champion Fitness,Average Fitness,Minimum Fitness,Champion Accuracy,Average Accuracy,Minimum Accuracy,Champion Capacity,Average Capacity,Maximum Capacity
1,84.80336298862437,51.53395666009893,30.599823269400915,95.72666931152344,95.54111210505168,11.236666679382324,22298,262885.43333333335,694392
2,101.36531804639645,62.01626857113521,13.793675254642679,94.4366683959961,91.79311186472574,11.236666679382324,7752,146993.6,607616
3,108.96782436009659,74.27367328827789,39.66189621042945,93.17539021174113,86.95500183105469,11.236666679382324,3863,85359.36666666667,398856
4,90.85130437538157,69.81464038743124,42.58639724826412,95.24000549316406,94.55577885309854,11.236666679382324,15153,78503.63333333333,330781
5,91.39890770578435,70.30841313505344,39.558911346699375,95.913330078125,94.68244460423787,11.236666679382324,14958,80876.73333333334,398256
